""
"1",944.68
"2",1950.52
"3",1128.15
"4",3115.68
"5",972.04
"6",1203.79
"7",3442.38
"8",3511.58
"9",873.87
"10",1480.59
"11",1512.78
"12",2808.3
"13",1911.9
"14",1147.46
"15",2990.15
"16",2795.42
"17",960.78
"18",1414.61
"19",1337.36
"20",2777.72
"21",2624.83
"22",1527.26
"23",1643.14
"24",2404.35
"25",2211.23
"26",1557.84
"27",2285.26
"28",2647.36
"29",3043.26
"30",1963.39
"31",3764.25
"32",3944.49
"33",558.44
"34",1543.36
"35",3701.48
"36",1757.4
"37",4174.63
"38",4399.94
"39",1485.42
"40",4137.61
"41",3875.29
"42",329.91
"43",1091.13
"44",3930.01
"45",3748.15
